FECHA_EJECUCION,HORA_EJECUCION,ENTE,TOTAL_REGISTROS,ESTATUS
2025-03-16,12:57:14,Aguascalientes,1584,Disponible
2025-03-16,12:57:14,Baja California Sur,80,Disponible
2025-03-16,12:57:14,Campeche,136,Disponible
2025-03-16,12:57:14,Chiapas,798,Disponible
2025-03-16,12:57:14,Chihuahua,715,Disponible
2025-03-16,12:57:14,Coahuila,ERROR,No disponible/Error reportado por la API
2025-03-16,12:57:14,Durango,1780,Disponible
2025-03-16,12:57:14,México,6234,Disponible
2025-03-16,12:57:14,Guanajuato,510,Disponible
2025-03-16,12:57:14,Guerrero,29,Disponible
2025-03-16,12:57:14,INEGI,ERROR,No disponible/Error reportado por la API
2025-03-16,12:57:14,Jalisco,ERROR,No disponible/Error reportado por la API
2025-03-16,12:57:14,Michoacán,468,Disponible
2025-03-16,12:57:14,Morelos,599,Disponible
2025-03-16,12:57:14,Oaxaca,ERROR,No disponible/Error reportado por la API
2025-03-16,12:57:14,Puebla,597,Disponible
2025-03-16,12:57:14,Querétaro,277,Disponible
2025-03-16,12:57:14,Quintana Roo,9,Disponible
2025-03-16,12:57:14,San Luis Potosí,477,Disponible
2025-03-16,12:57:14,SABG,205173,Disponible
2025-03-16,12:57:14,Sinaloa,247,Disponible
2025-03-16,12:57:14,Tabasco,ERROR,No disponible/Error reportado por la API
2025-03-16,12:57:14,Tlaxcala,22,Disponible
2025-03-16,12:57:14,Veracruz,62,Disponible
2025-03-16,12:57:14,Yucatán,16,Disponible
2025-03-16,12:57:14,Zacatecas,418,Disponible
2025-03-16,12:57:14,COFECE,100,Disponible
2025-03-16,12:57:14,CNDH,ERROR,No disponible/Error reportado por la API
2025-03-17,15:18:25,Aguascalientes,1584,Disponible
2025-03-17,15:18:25,Baja California Sur,80,Disponible
2025-03-17,15:18:25,Campeche,136,Disponible
2025-03-17,15:18:25,Chiapas,798,Disponible
2025-03-17,15:18:25,Chihuahua,715,Disponible
2025-03-17,15:18:25,Coahuila,ERROR,No disponible/Error reportado por la API
2025-03-17,15:18:25,Durango,1780,Disponible
2025-03-17,15:18:25,México,6234,Disponible
2025-03-17,15:18:25,Guanajuato,510,Disponible
2025-03-17,15:18:25,Guerrero,29,Disponible
2025-03-17,15:18:25,INEGI,ERROR,No disponible/Error reportado por la API
2025-03-17,15:18:25,Jalisco,ERROR,No disponible/Error reportado por la API
2025-03-17,15:18:25,Michoacán,ERROR,No disponible/Error reportado por la API
2025-03-17,15:18:25,Morelos,599,Disponible
2025-03-17,15:18:25,Oaxaca,ERROR,No disponible/Error reportado por la API
2025-03-17,15:18:25,Puebla,597,Disponible
2025-03-17,15:18:25,Querétaro,277,Disponible
2025-03-17,15:18:25,Quintana Roo,9,Disponible
2025-03-17,15:18:25,San Luis Potosí,477,Disponible
2025-03-17,15:18:25,SABG,205173,Disponible
2025-03-17,15:18:25,Sinaloa,247,Disponible
2025-03-17,15:18:25,Tabasco,ERROR,No disponible/Error reportado por la API
2025-03-17,15:18:25,Tlaxcala,22,Disponible
2025-03-17,15:18:25,Veracruz,ERROR,No disponible/Error reportado por la API
2025-03-17,15:18:25,Yucatán,16,Disponible
2025-03-17,15:18:25,Zacatecas,418,Disponible
2025-03-17,15:18:25,COFECE,100,Disponible
2025-03-17,15:18:25,CNDH,45,Disponible
2025-03-18,11:08:06,Aguascalientes,1585,Disponible
2025-03-18,11:08:06,Baja California Sur,80,Disponible
2025-03-18,11:08:06,Campeche,136,Disponible
2025-03-18,11:08:06,Chiapas,798,Disponible
2025-03-18,11:08:06,Chihuahua,715,Disponible
2025-03-18,11:08:06,Coahuila,220,Disponible
2025-03-18,11:08:06,Durango,1780,Disponible
2025-03-18,11:08:06,México,6234,Disponible
2025-03-18,11:08:06,Guanajuato,510,Disponible
2025-03-18,11:08:06,Guerrero,29,Disponible
2025-03-18,11:08:06,INEGI,3394,Disponible
2025-03-18,11:08:06,Jalisco,ERROR,No disponible/Error reportado por la API
2025-03-18,11:08:06,Michoacán,ERROR,No disponible/Error reportado por la API
2025-03-18,11:08:06,Morelos,599,Disponible
2025-03-18,11:08:06,Oaxaca,ERROR,No disponible/Error reportado por la API
2025-03-18,11:08:06,Puebla,597,Disponible
2025-03-18,11:08:06,Querétaro,275,Disponible
2025-03-18,11:08:06,Quintana Roo,9,Disponible
2025-03-18,11:08:06,San Luis Potosí,477,Disponible
2025-03-18,11:08:06,SABG,205173,Disponible
2025-03-18,11:08:06,Sinaloa,247,Disponible
2025-03-18,11:08:06,Tabasco,468,Disponible
2025-03-18,11:08:06,Tlaxcala,22,Disponible
2025-03-18,11:08:06,Veracruz,62,Disponible
2025-03-18,11:08:06,Yucatán,16,Disponible
2025-03-18,11:08:06,Zacatecas,419,Disponible
2025-03-18,11:08:06,COFECE,100,Disponible
2025-03-18,11:08:06,CNDH,ERROR,No disponible/Error reportado por la API
2025-03-19,11:47:00,Aguascalientes,1598,Disponible
2025-03-19,11:47:00,Baja California Sur,80,Disponible
2025-03-19,11:47:00,Campeche,136,Disponible
2025-03-19,11:47:00,Chiapas,798,Disponible
2025-03-19,11:47:00,Chihuahua,715,Disponible
2025-03-19,11:47:00,Coahuila,220,Disponible
2025-03-19,11:47:00,Durango,1780,Disponible
2025-03-19,11:47:00,México,6235,Disponible
2025-03-19,11:47:00,Guanajuato,510,Disponible
2025-03-19,11:47:00,Guerrero,29,Disponible
2025-03-19,11:47:00,INEGI,ERROR,No disponible/Error reportado por la API
2025-03-19,11:47:00,Jalisco,ERROR,No disponible/Error reportado por la API
