FECHA_EJECUCION,HORA_EJECUCION,ENTE,TOTAL_REGISTROS,ESTATUS
2025-03-16,12:57:28,Guanajuato,23,Disponible
2025-03-16,12:57:31,Quintana Roo,17,Disponible
2025-03-16,12:57:31,Chihuahua,9,Disponible
2025-03-16,12:57:33,Veracruz,11,Disponible
2025-03-16,12:57:34,Guerrero,3,Disponible
2025-03-16,12:57:35,Yucatán,0,Disponible
2025-03-16,12:57:36,Puebla,12,Disponible
2025-03-16,12:57:38,Jalisco,10,Disponible
2025-03-16,12:57:39,México,226,Disponible
2025-03-16,12:57:41,Tlaxcala,0,Disponible
2025-03-16,12:57:42,Baja California Sur,1,Disponible
2025-03-16,12:58:47,Michoacán,0,No disponible/Request failed with status code 400
2025-03-16,12:59:09,Durango,3,Disponible
2025-03-16,12:59:13,Sinaloa,2,Disponible
2025-03-16,12:59:15,Tabasco,2,Disponible
2025-03-16,12:59:17,Tamaulipas,0,Disponible
2025-03-16,12:59:18,Baja California,0,Disponible
2025-03-17,15:18:40,Guanajuato,23,Disponible
2025-03-17,15:18:42,Quintana Roo,17,Disponible
2025-03-17,15:18:43,Chihuahua,9,Disponible
2025-03-17,15:18:45,Veracruz,11,Disponible
2025-03-17,15:18:47,Guerrero,3,Disponible
2025-03-17,15:18:49,Yucatán,0,Disponible
2025-03-17,15:18:50,Puebla,12,Disponible
2025-03-17,15:18:52,Jalisco,10,Disponible
2025-03-17,15:18:54,México,226,Disponible
2025-03-17,15:18:56,Tlaxcala,0,Disponible
2025-03-17,15:18:58,Baja California Sur,1,Disponible
2025-03-17,15:20:02,Michoacán,0,No disponible/Request failed with status code 400
2025-03-17,15:20:05,Durango,3,Disponible
2025-03-17,15:20:09,Sinaloa,2,Disponible
2025-03-17,15:20:13,Tabasco,2,Disponible
2025-03-17,15:20:15,Tamaulipas,0,Disponible
2025-03-17,15:20:17,Baja California,0,Disponible
2025-03-18,10:58:57,Guanajuato,23,Disponible
2025-03-18,10:59:00,Quintana Roo,17,Disponible
2025-03-18,10:59:01,Chihuahua,9,Disponible
2025-03-18,10:59:03,Veracruz,11,Disponible
2025-03-18,10:59:05,Guerrero,3,Disponible
2025-03-18,10:59:07,Yucatán,0,Disponible
2025-03-18,10:59:09,Puebla,12,Disponible
2025-03-18,10:59:11,Jalisco,10,Disponible
2025-03-18,10:59:13,México,226,Disponible
2025-03-18,10:59:15,Tlaxcala,0,Disponible
2025-03-18,10:59:16,Baja California Sur,1,Disponible
2025-03-18,10:59:21,Michoacán,0,No disponible/Request failed with status code 400
2025-03-18,10:59:24,Durango,3,Disponible
2025-03-18,10:59:27,Sinaloa,2,Disponible
2025-03-18,10:59:29,Tabasco,2,Disponible
2025-03-18,10:59:31,Tamaulipas,0,Disponible
2025-03-18,10:59:33,Baja California,0,Disponible
2025-03-18,11:08:23,Guanajuato,23,Disponible
2025-03-18,11:08:26,Quintana Roo,17,Disponible
2025-03-18,11:08:28,Chihuahua,9,Disponible
2025-03-18,11:08:29,Veracruz,11,Disponible
2025-03-18,11:08:31,Guerrero,3,Disponible
2025-03-18,11:08:33,Yucatán,0,Disponible
2025-03-18,11:08:35,Puebla,12,Disponible
2025-03-18,11:08:37,Jalisco,10,Disponible
2025-03-18,11:08:39,México,226,Disponible
2025-03-18,11:08:41,Tlaxcala,0,Disponible
2025-03-18,11:08:43,Baja California Sur,1,Disponible
2025-03-18,11:08:47,Michoacán,0,No disponible/Request failed with status code 400
2025-03-18,11:08:50,Durango,3,Disponible
2025-03-18,11:08:52,Sinaloa,2,Disponible
2025-03-18,11:08:55,Tabasco,2,Disponible
2025-03-18,11:08:57,Tamaulipas,0,Disponible
2025-03-18,11:08:59,Baja California,0,Disponible
2025-03-19,11:47:17,Guanajuato,23,Disponible
2025-03-19,11:47:20,Quintana Roo,17,Disponible
2025-03-19,11:47:21,Chihuahua,9,Disponible
2025-03-19,11:47:23,Veracruz,11,Disponible
2025-03-19,11:47:24,Guerrero,3,Disponible
2025-03-19,11:47:26,Yucatán,0,Disponible
2025-03-19,11:47:28,Puebla,12,Disponible
2025-03-19,11:47:30,Jalisco,10,Disponible
2025-03-19,11:47:32,México,226,Disponible
2025-03-19,11:47:34,Tlaxcala,0,Disponible
2025-03-19,11:47:35,Baja California Sur,1,Disponible
2025-03-19,11:47:37,Michoacán,1,Disponible
2025-03-19,11:47:39,Durango,3,Disponible
2025-03-19,11:47:42,Sinaloa,2,Disponible
2025-03-19,11:47:44,Tabasco,2,Disponible
2025-03-19,11:47:47,Tamaulipas,0,Disponible
