FECHA_EJECUCION,HORA_EJECUCION,ENTE,TOTAL_REGISTROS,ESTATUS
2025-03-16,12:57:29,Guanajuato,22,Disponible
2025-03-16,12:57:31,Quintana Roo,0,Disponible
2025-03-16,12:57:31,Chihuahua,0,Disponible
2025-03-16,12:57:33,Veracruz,6,Disponible
2025-03-16,12:57:34,Guerrero,23,Disponible
2025-03-16,12:57:35,Yucatán,0,No disponible/socket hang up
2025-03-16,12:57:37,Puebla,0,Disponible
2025-03-16,12:57:38,Jalisco,3535,Disponible
2025-03-16,12:57:40,México,8661,Disponible
2025-03-16,12:57:41,Tlaxcala,28,Disponible
2025-03-16,12:57:43,Baja California Sur,187,Disponible
2025-03-16,12:59:09,Michoacán,0,No disponible/Request failed with status code 400
2025-03-16,12:59:10,Durango,0,Disponible
2025-03-16,12:59:14,Sinaloa,445,Disponible
2025-03-16,12:59:15,Tabasco,196,Disponible
2025-03-16,12:59:17,Tamaulipas,0,Disponible
2025-03-16,12:59:18,Baja California,0,Disponible
2025-03-17,15:18:40,Guanajuato,22,Disponible
2025-03-17,15:18:42,Quintana Roo,0,Disponible
2025-03-17,15:18:43,Chihuahua,0,Disponible
2025-03-17,15:18:45,Veracruz,6,Disponible
2025-03-17,15:18:47,Guerrero,23,Disponible
2025-03-17,15:18:49,Yucatán,5,Disponible
2025-03-17,15:18:50,Puebla,0,Disponible
2025-03-17,15:18:53,Jalisco,3535,Disponible
2025-03-17,15:18:54,México,8661,Disponible
2025-03-17,15:18:56,Tlaxcala,28,Disponible
2025-03-17,15:18:58,Baja California Sur,187,Disponible
2025-03-17,15:20:02,Michoacán,0,No disponible/socket hang up
2025-03-17,15:20:05,Durango,0,Disponible
2025-03-17,15:20:10,Sinaloa,445,Disponible
2025-03-17,15:20:14,Tabasco,196,Disponible
2025-03-17,15:20:16,Tamaulipas,0,Disponible
2025-03-17,15:20:17,Baja California,0,Disponible
2025-03-18,10:58:58,Guanajuato,22,Disponible
2025-03-18,10:59:01,Quintana Roo,0,Disponible
2025-03-18,10:59:02,Chihuahua,0,Disponible
2025-03-18,10:59:03,Veracruz,6,Disponible
2025-03-18,10:59:05,Guerrero,23,Disponible
2025-03-18,10:59:08,Yucatán,5,Disponible
2025-03-18,10:59:09,Puebla,0,Disponible
2025-03-18,10:59:11,Jalisco,3535,Disponible
2025-03-18,10:59:13,México,8661,Disponible
2025-03-18,10:59:15,Tlaxcala,28,Disponible
2025-03-18,10:59:17,Baja California Sur,187,Disponible
2025-03-18,10:59:23,Michoacán,0,No disponible/Request failed with status code 400
2025-03-18,10:59:24,Durango,0,Disponible
2025-03-18,10:59:27,Sinaloa,445,Disponible
2025-03-18,10:59:29,Tabasco,196,Disponible
2025-03-18,10:59:32,Tamaulipas,0,Disponible
2025-03-18,10:59:33,Baja California,0,Disponible
2025-03-18,11:08:24,Guanajuato,22,Disponible
2025-03-18,11:08:26,Quintana Roo,0,Disponible
2025-03-18,11:08:28,Chihuahua,0,Disponible
2025-03-18,11:08:30,Veracruz,6,Disponible
2025-03-18,11:08:32,Guerrero,23,Disponible
2025-03-18,11:08:34,Yucatán,5,Disponible
2025-03-18,11:08:35,Puebla,0,Disponible
2025-03-18,11:08:38,Jalisco,3535,Disponible
2025-03-18,11:08:40,México,8661,Disponible
2025-03-18,11:08:41,Tlaxcala,28,Disponible
2025-03-18,11:08:43,Baja California Sur,187,Disponible
2025-03-18,11:08:49,Michoacán,0,No disponible/Request failed with status code 400
2025-03-18,11:08:50,Durango,0,Disponible
2025-03-18,11:08:53,Sinaloa,445,Disponible
2025-03-18,11:08:55,Tabasco,196,Disponible
2025-03-18,11:08:58,Tamaulipas,0,Disponible
2025-03-18,11:08:59,Baja California,0,Disponible
2025-03-19,11:47:18,Guanajuato,22,Disponible
2025-03-19,11:47:20,Quintana Roo,0,Disponible
2025-03-19,11:47:22,Chihuahua,0,Disponible
2025-03-19,11:47:23,Veracruz,6,Disponible
2025-03-19,11:47:25,Guerrero,23,Disponible
2025-03-19,11:47:27,Yucatán,5,Disponible
2025-03-19,11:47:28,Puebla,0,Disponible
2025-03-19,11:47:30,Jalisco,3535,Disponible
2025-03-19,11:47:32,México,8661,Disponible
2025-03-19,11:47:34,Tlaxcala,28,Disponible
2025-03-19,11:47:36,Baja California Sur,187,Disponible
2025-03-19,11:47:38,Michoacán,0,Disponible
2025-03-19,11:47:40,Durango,0,Disponible
2025-03-19,11:47:43,Sinaloa,445,Disponible
2025-03-19,11:47:45,Tabasco,196,Disponible
2025-03-19,11:47:47,Tamaulipas,0,Disponible
2025-03-19,11:47:49,Baja California,0,Disponible
2025-03-20,10:02:52,Guanajuato,22,Disponible
2025-03-20,10:02:54,Quintana Roo,0,Disponible
2025-03-20,10:02:55,Chihuahua,0,Disponible
2025-03-20,10:02:57,Veracruz,6,Disponible
2025-03-20,10:02:59,Guerrero,23,Disponible
2025-03-20,10:03:01,Yucatán,5,Disponible
2025-03-20,10:03:03,Puebla,0,Disponible
2025-03-20,10:03:05,Jalisco,3535,Disponible
2025-03-20,10:03:07,México,8661,Disponible
2025-03-20,10:03:09,Tlaxcala,28,Disponible
2025-03-20,10:03:11,Baja California Sur,187,Disponible
2025-03-20,10:03:13,Michoacán,0,Disponible
2025-03-20,10:03:14,Durango,0,Disponible
2025-03-20,10:03:17,Sinaloa,446,Disponible
2025-03-20,10:03:19,Tabasco,196,Disponible
2025-03-20,10:03:21,Tamaulipas,0,Disponible
2025-03-20,10:03:23,Baja California,0,Disponible
2025-03-21,10:02:44,Guanajuato,22,Disponible
2025-03-21,10:02:47,Quintana Roo,0,Disponible
2025-03-21,10:02:47,Chihuahua,0,Disponible
2025-03-21,10:02:49,Veracruz,6,Disponible
2025-03-21,10:02:51,Guerrero,23,Disponible
2025-03-21,10:02:53,Yucatán,5,Disponible
2025-03-21,10:02:54,Puebla,0,Disponible
2025-03-21,10:02:56,Jalisco,3535,Disponible
2025-03-21,10:02:58,México,8661,Disponible
2025-03-21,10:02:59,Tlaxcala,29,Disponible
2025-03-21,10:03:01,Baja California Sur,187,Disponible
2025-03-21,10:03:06,Michoacán,0,Disponible
2025-03-21,10:03:07,Durango,0,Disponible
2025-03-21,10:03:10,Sinaloa,446,Disponible
2025-03-21,10:03:13,Tabasco,196,Disponible
2025-03-21,10:03:15,Tamaulipas,0,Disponible
2025-03-21,10:03:16,Baja California,0,Disponible
2025-03-24,10:02:55,Guanajuato,22,Disponible
2025-03-24,10:02:58,Quintana Roo,0,Disponible
2025-03-24,10:02:59,Chihuahua,0,Disponible
2025-03-24,10:03:00,Veracruz,6,Disponible
2025-03-24,10:03:02,Guerrero,23,Disponible
2025-03-24,10:03:04,Yucatán,5,Disponible
2025-03-24,10:03:06,Puebla,0,Disponible
2025-03-24,10:03:08,Jalisco,3535,Disponible
2025-03-24,10:03:10,México,8661,Disponible
2025-03-24,10:03:12,Tlaxcala,29,Disponible
2025-03-24,10:03:14,Baja California Sur,187,Disponible
2025-03-24,10:03:16,Michoacán,0,Disponible
2025-03-24,10:03:17,Durango,0,Disponible
2025-03-24,10:03:20,Sinaloa,446,Disponible
2025-03-24,10:03:22,Tabasco,196,Disponible
2025-03-24,10:03:25,Tamaulipas,0,Disponible
2025-03-24,10:03:27,Baja California,0,Disponible
2025-03-25,10:03:14,Guanajuato,22,Disponible
2025-03-25,10:03:16,Quintana Roo,0,Disponible
2025-03-25,10:03:17,Chihuahua,0,Disponible
2025-03-25,10:06:18,Veracruz,0,No disponible/Request failed with status code 504
2025-03-25,10:06:20,Guerrero,23,Disponible
2025-03-25,10:06:22,Yucatán,5,Disponible
2025-03-25,10:06:23,Puebla,0,Disponible
2025-03-25,10:06:25,Jalisco,3535,Disponible
2025-03-25,10:06:27,México,8661,Disponible
2025-03-25,10:06:29,Tlaxcala,29,Disponible
2025-03-25,10:06:31,Baja California Sur,187,Disponible
2025-03-25,10:06:32,Michoacán,0,Disponible
2025-03-25,10:06:34,Durango,0,Disponible
2025-03-25,10:06:37,Sinaloa,452,Disponible
2025-03-25,10:06:39,Tabasco,196,Disponible
2025-03-25,10:06:41,Tamaulipas,0,Disponible
2025-03-25,10:06:42,Baja California,0,Disponible
2025-03-26,10:03:04,Guanajuato,22,Disponible
