FECHA_EJECUCION,HORA_EJECUCION,ENTE,TOTAL_REGISTROS,ESTATUS
2025-03-16,12:57:28,Guanajuato,1,Disponible
2025-03-16,12:57:30,Quintana Roo,2,Disponible
2025-03-16,12:57:31,Chihuahua,2,Disponible
2025-03-16,12:57:32,Veracruz,0,Disponible
2025-03-16,12:57:33,Guerrero,0,Disponible
2025-03-16,12:57:35,Yucatán,0,Disponible
2025-03-16,12:57:36,Puebla,0,Disponible
2025-03-16,12:57:38,Jalisco,1,Disponible
2025-03-16,12:57:39,México,6,Disponible
2025-03-16,12:57:41,Tlaxcala,0,Disponible
2025-03-16,12:57:42,Baja California Sur,48,Disponible
2025-03-16,12:58:26,Michoacán,0,No disponible/Request failed with status code 400
2025-03-16,12:59:09,Durango,0,Disponible
2025-03-16,12:59:12,Sinaloa,0,Disponible
2025-03-16,12:59:14,Tabasco,0,Disponible
2025-03-16,12:59:17,Tamaulipas,0,Disponible
2025-03-16,12:59:18,Baja California,0,Disponible
2025-03-17,15:18:39,Guanajuato,1,Disponible
2025-03-17,15:18:41,Quintana Roo,2,Disponible
2025-03-17,15:18:43,Chihuahua,2,Disponible
2025-03-17,15:18:44,Veracruz,0,Disponible
2025-03-17,15:18:46,Guerrero,0,Disponible
2025-03-17,15:18:48,Yucatán,0,Disponible
2025-03-17,15:18:50,Puebla,0,Disponible
2025-03-17,15:18:51,Jalisco,1,Disponible
2025-03-17,15:18:53,México,6,Disponible
2025-03-17,15:18:55,Tlaxcala,0,Disponible
2025-03-17,15:18:57,Baja California Sur,48,Disponible
2025-03-17,15:19:41,Michoacán,0,No disponible/Request failed with status code 400
2025-03-17,15:20:04,Durango,0,Disponible
2025-03-17,15:20:08,Sinaloa,0,Disponible
2025-03-17,15:20:12,Tabasco,0,Disponible
2025-03-17,15:20:15,Tamaulipas,0,Disponible
2025-03-17,15:20:17,Baja California,0,Disponible
2025-03-18,10:58:56,Guanajuato,1,Disponible
2025-03-18,10:58:59,Quintana Roo,2,Disponible
2025-03-18,10:59:01,Chihuahua,2,Disponible
2025-03-18,10:59:02,Veracruz,0,Disponible
2025-03-18,10:59:04,Guerrero,0,Disponible
2025-03-18,10:59:06,Yucatán,0,Disponible
2025-03-18,10:59:08,Puebla,0,Disponible
2025-03-18,10:59:10,Jalisco,1,Disponible
2025-03-18,10:59:12,México,6,Disponible
2025-03-18,10:59:14,Tlaxcala,0,Disponible
2025-03-18,10:59:16,Baja California Sur,48,Disponible
2025-03-18,10:59:20,Michoacán,0,No disponible/Request failed with status code 400
2025-03-18,10:59:24,Durango,0,Disponible
2025-03-18,10:59:26,Sinaloa,0,Disponible
2025-03-18,10:59:28,Tabasco,0,Disponible
2025-03-18,10:59:31,Tamaulipas,0,Disponible
2025-03-18,10:59:33,Baja California,0,Disponible
2025-03-18,11:08:21,Guanajuato,1,Disponible
2025-03-18,11:08:25,Quintana Roo,2,Disponible
2025-03-18,11:08:27,Chihuahua,2,Disponible
2025-03-18,11:08:29,Veracruz,0,Disponible
2025-03-18,11:08:31,Guerrero,0,Disponible
2025-03-18,11:08:33,Yucatán,0,Disponible
2025-03-18,11:08:35,Puebla,0,Disponible
2025-03-18,11:08:37,Jalisco,1,Disponible
2025-03-18,11:08:38,México,6,Disponible
2025-03-18,11:08:40,Tlaxcala,0,Disponible
2025-03-18,11:08:42,Baja California Sur,48,Disponible
2025-03-18,11:08:46,Michoacán,0,No disponible/Request failed with status code 400
2025-03-18,11:08:49,Durango,0,Disponible
2025-03-18,11:08:52,Sinaloa,0,Disponible
2025-03-18,11:08:54,Tabasco,0,Disponible
2025-03-18,11:08:57,Tamaulipas,0,Disponible
2025-03-18,11:08:58,Baja California,0,Disponible
2025-03-19,11:47:16,Guanajuato,1,Disponible
2025-03-19,11:47:19,Quintana Roo,2,Disponible
2025-03-19,11:47:21,Chihuahua,2,Disponible
2025-03-19,11:47:22,Veracruz,0,Disponible
2025-03-19,11:47:24,Guerrero,0,Disponible
2025-03-19,11:47:26,Yucatán,0,Disponible
2025-03-19,11:47:27,Puebla,0,Disponible
2025-03-19,11:47:29,Jalisco,1,Disponible
2025-03-19,11:47:31,México,6,Disponible
2025-03-19,11:47:33,Tlaxcala,0,Disponible
2025-03-19,11:47:35,Baja California Sur,48,Disponible
2025-03-19,11:47:36,Michoacán,0,Disponible
2025-03-19,11:47:39,Durango,0,Disponible
2025-03-19,11:47:41,Sinaloa,0,Disponible
2025-03-19,11:47:44,Tabasco,0,Disponible
2025-03-19,11:47:46,Tamaulipas,0,Disponible
2025-03-19,11:47:48,Baja California,0,Disponible
2025-03-20,10:02:50,Guanajuato,1,Disponible
2025-03-20,10:02:53,Quintana Roo,2,Disponible
2025-03-20,10:02:55,Chihuahua,2,Disponible
2025-03-20,10:02:56,Veracruz,0,Disponible
2025-03-20,10:02:58,Guerrero,0,Disponible
2025-03-20,10:03:00,Yucatán,0,Disponible
2025-03-20,10:03:02,Puebla,0,Disponible
2025-03-20,10:03:04,Jalisco,1,Disponible
2025-03-20,10:03:06,México,6,Disponible
2025-03-20,10:03:08,Tlaxcala,0,Disponible
2025-03-20,10:03:10,Baja California Sur,48,Disponible
2025-03-20,10:03:12,Michoacán,0,Disponible
2025-03-20,10:03:13,Durango,0,Disponible
2025-03-20,10:03:15,Sinaloa,0,Disponible
2025-03-20,10:03:18,Tabasco,0,Disponible
2025-03-20,10:03:20,Tamaulipas,0,Disponible
2025-03-20,10:03:22,Baja California,0,Disponible
2025-03-21,10:02:43,Guanajuato,1,Disponible
2025-03-21,10:02:45,Quintana Roo,2,Disponible
2025-03-21,10:02:47,Chihuahua,2,Disponible
2025-03-21,10:02:48,Veracruz,0,Disponible
2025-03-21,10:02:50,Guerrero,0,Disponible
2025-03-21,10:02:52,Yucatán,0,Disponible
2025-03-21,10:02:53,Puebla,0,Disponible
2025-03-21,10:02:55,Jalisco,1,Disponible
2025-03-21,10:02:57,México,6,Disponible
2025-03-21,10:02:59,Tlaxcala,0,Disponible
2025-03-21,10:03:00,Baja California Sur,48,Disponible
2025-03-21,10:03:04,Michoacán,0,Disponible
2025-03-21,10:03:06,Durango,0,Disponible
2025-03-21,10:03:08,Sinaloa,0,Disponible
2025-03-21,10:03:11,Tabasco,0,Disponible
2025-03-21,10:03:14,Tamaulipas,0,Disponible
2025-03-21,10:03:16,Baja California,0,Disponible
2025-03-24,10:02:54,Guanajuato,1,Disponible
2025-03-24,10:02:57,Quintana Roo,2,Disponible
2025-03-24,10:02:58,Chihuahua,2,Disponible
2025-03-24,10:02:59,Veracruz,0,Disponible
2025-03-24,10:03:01,Guerrero,0,Disponible
2025-03-24,10:03:03,Yucatán,0,Disponible
2025-03-24,10:03:05,Puebla,0,Disponible
2025-03-24,10:03:07,Jalisco,1,Disponible
2025-03-24,10:03:09,México,6,Disponible
2025-03-24,10:03:11,Tlaxcala,0,Disponible
2025-03-24,10:03:13,Baja California Sur,48,Disponible
2025-03-24,10:03:15,Michoacán,0,Disponible
2025-03-24,10:03:16,Durango,0,Disponible
2025-03-24,10:03:19,Sinaloa,0,Disponible
2025-03-24,10:03:21,Tabasco,0,Disponible
2025-03-24,10:03:24,Tamaulipas,0,Disponible
2025-03-24,10:03:26,Baja California,0,Disponible
2025-03-25,10:03:12,Guanajuato,1,Disponible
2025-03-25,10:03:15,Quintana Roo,2,Disponible
2025-03-25,10:03:16,Chihuahua,2,Disponible
2025-03-25,10:05:17,Veracruz,0,No disponible/Request failed with status code 504
2025-03-25,10:06:19,Guerrero,0,Disponible
2025-03-25,10:06:21,Yucatán,0,Disponible
2025-03-25,10:06:23,Puebla,0,Disponible
2025-03-25,10:06:24,Jalisco,1,Disponible
2025-03-25,10:06:26,México,6,Disponible
2025-03-25,10:06:28,Tlaxcala,0,Disponible
2025-03-25,10:06:30,Baja California Sur,48,Disponible
2025-03-25,10:06:31,Michoacán,0,Disponible
2025-03-25,10:06:33,Durango,0,Disponible
2025-03-25,10:06:35,Sinaloa,0,Disponible
2025-03-25,10:06:38,Tabasco,0,Disponible
2025-03-25,10:06:40,Tamaulipas,0,Disponible
2025-03-25,10:06:42,Baja California,0,Disponible
2025-03-26,10:03:03,Guanajuato,1,Disponible
2025-03-26,10:03:05,Quintana Roo,2,Disponible
2025-03-26,10:03:06,Chihuahua,2,Disponible
2025-03-26,10:03:07,Veracruz,0,Disponible
2025-03-26,10:03:08,Guerrero,0,Disponible
2025-03-26,10:03:10,Yucatán,0,Disponible
2025-03-26,10:03:11,Puebla,0,Disponible
2025-03-26,10:03:12,Jalisco,1,Disponible
2025-03-26,10:03:13,México,6,Disponible
2025-03-26,10:03:15,Tlaxcala,0,Disponible
2025-03-26,10:03:16,Baja California Sur,48,Disponible
2025-03-26,10:03:17,Michoacán,0,Disponible
2025-03-26,10:03:18,Durango,0,Disponible
2025-03-26,10:03:20,Sinaloa,0,Disponible
2025-03-26,10:03:22,Tabasco,0,Disponible
2025-03-26,10:03:24,Tamaulipas,0,Disponible
2025-03-26,10:03:25,Baja California,0,Disponible
2025-03-27,10:03:12,Guanajuato,1,Disponible
2025-03-27,10:03:14,Quintana Roo,2,Disponible
2025-03-27,10:03:15,Chihuahua,2,Disponible
2025-03-27,10:05:16,Veracruz,0,No disponible/Request failed with status code 504
2025-03-27,10:07:16,Guerrero,0,Disponible
2025-03-27,10:07:18,Yucatán,0,Disponible
2025-03-27,10:07:19,Puebla,0,Disponible
2025-03-27,10:07:21,Jalisco,1,Disponible
2025-03-27,10:07:22,México,6,Disponible
2025-03-27,10:07:23,Tlaxcala,0,Disponible
2025-03-27,10:07:25,Baja California Sur,48,Disponible
2025-03-27,10:07:26,Michoacán,0,Disponible
2025-03-27,10:07:28,Durango,0,Disponible
2025-03-27,10:07:29,Sinaloa,0,Disponible
2025-03-27,10:07:32,Tabasco,0,Disponible
2025-03-27,10:07:33,Tamaulipas,0,Disponible
2025-03-27,10:07:35,Baja California,0,Disponible
2025-03-28,10:49:04,Guanajuato,1,Disponible
2025-03-28,10:49:07,Quintana Roo,2,Disponible
2025-03-28,10:49:09,Chihuahua,2,Disponible
2025-03-28,10:49:10,Veracruz,0,Disponible
2025-03-28,10:49:12,Guerrero,0,Disponible
2025-03-28,10:49:14,Yucatán,0,Disponible
2025-03-28,10:49:16,Puebla,0,Disponible
2025-03-28,10:49:18,Jalisco,1,Disponible
2025-03-28,10:49:20,México,6,Disponible
2025-03-28,10:49:22,Tlaxcala,0,Disponible
2025-03-28,10:49:24,Baja California Sur,48,Disponible
2025-03-28,10:49:26,Michoacán,0,Disponible
2025-03-28,10:49:27,Durango,0,Disponible
2025-03-28,10:49:29,Sinaloa,0,Disponible
2025-03-28,10:49:32,Tabasco,0,Disponible
2025-03-28,10:49:35,Tamaulipas,0,Disponible
2025-03-28,10:49:37,Baja California,0,Disponible
2025-03-31,10:03:10,Guanajuato,1,Disponible
2025-03-31,10:03:12,Quintana Roo,2,Disponible
2025-03-31,10:03:13,Chihuahua,2,Disponible
2025-03-31,10:05:14,Veracruz,0,No disponible/Request failed with status code 504
2025-03-31,10:07:15,Guerrero,0,Disponible
2025-03-31,10:07:17,Yucatán,0,Disponible
2025-03-31,10:07:18,Puebla,0,Disponible
2025-03-31,10:07:19,Jalisco,1,Disponible
2025-03-31,10:07:21,México,6,Disponible
2025-03-31,10:07:23,Tlaxcala,0,Disponible
2025-03-31,10:07:24,Baja California Sur,48,Disponible
2025-03-31,10:07:26,Michoacán,0,Disponible
2025-03-31,10:07:27,Durango,0,Disponible
2025-03-31,10:07:30,Sinaloa,0,Disponible
2025-03-31,10:07:32,Tabasco,0,Disponible
2025-03-31,10:07:34,Tamaulipas,0,Disponible
2025-03-31,10:07:36,Baja California,0,Disponible
2025-04-01,10:28:55,Guanajuato,1,Disponible
2025-04-01,10:28:58,Quintana Roo,2,Disponible
2025-04-01,10:29:00,Chihuahua,2,Disponible
2025-04-01,10:31:01,Veracruz,0,No disponible/Request failed with status code 504
2025-04-01,10:33:02,Guerrero,0,Disponible
2025-04-01,10:33:04,Yucatán,0,Disponible
2025-04-01,10:35:06,Puebla,0,No disponible/Request failed with status code 504
2025-04-01,10:37:08,Jalisco,1,Disponible
2025-04-01,10:37:10,México,6,Disponible
2025-04-01,10:37:12,Tlaxcala,0,Disponible
2025-04-01,10:37:14,Baja California Sur,48,Disponible
2025-04-01,10:37:16,Michoacán,0,Disponible
2025-04-01,10:37:17,Durango,0,Disponible
2025-04-01,10:37:19,Sinaloa,0,Disponible
2025-04-01,10:38:22,Tabasco,0,No disponible/Request failed with status code 504
2025-04-01,10:40:24,Tamaulipas,0,Disponible
2025-04-01,10:41:26,Baja California,0,Disponible
2025-04-02,10:03:24,Guanajuato,1,Disponible
2025-04-02,10:03:27,Quintana Roo,2,Disponible
2025-04-02,10:03:29,Chihuahua,2,Disponible
2025-04-02,10:03:30,Veracruz,0,Disponible
2025-04-02,10:03:32,Guerrero,0,Disponible
2025-04-02,10:03:34,Yucatán,0,Disponible
2025-04-02,10:03:36,Puebla,0,Disponible
2025-04-02,10:03:38,Jalisco,1,Disponible
2025-04-02,10:03:40,México,6,Disponible
2025-04-02,10:03:42,Tlaxcala,0,Disponible
2025-04-02,10:03:43,Baja California Sur,48,Disponible
2025-04-02,10:03:45,Michoacán,0,Disponible
2025-04-02,10:03:47,Durango,0,Disponible
2025-04-02,10:03:49,Sinaloa,0,Disponible
2025-04-02,10:03:51,Tabasco,0,Disponible
2025-04-02,10:03:53,Tamaulipas,0,Disponible
2025-04-02,10:03:55,Baja California,0,Disponible
2025-04-03,10:03:16,Guanajuato,1,Disponible
2025-04-03,10:03:19,Quintana Roo,2,Disponible
2025-04-03,10:03:20,Chihuahua,2,Disponible
2025-04-03,10:03:21,Veracruz,0,Disponible
2025-04-03,10:03:22,Guerrero,0,Disponible
2025-04-03,10:03:24,Yucatán,0,Disponible
2025-04-03,10:03:25,Puebla,0,Disponible
2025-04-03,10:03:26,Jalisco,1,Disponible
2025-04-03,10:03:28,México,0,No disponible/Request failed with status code 400
2025-04-03,10:03:29,Tlaxcala,0,Disponible
2025-04-03,10:03:30,Baja California Sur,48,Disponible
2025-04-03,10:03:31,Michoacán,0,Disponible
2025-04-03,10:03:33,Durango,0,Disponible
2025-04-03,10:03:35,Sinaloa,0,Disponible
2025-04-03,10:03:37,Tabasco,0,Disponible
2025-04-03,10:03:39,Tamaulipas,0,Disponible
2025-04-03,10:03:40,Baja California,0,Disponible
2025-04-03,10:03:42,SESEA_CAMPECHE,0,Disponible
2025-04-04,10:03:32,Guanajuato,1,Disponible
2025-04-04,10:03:36,Quintana Roo,2,Disponible
2025-04-04,10:03:38,Chihuahua,2,Disponible
2025-04-04,10:03:40,Veracruz,0,Disponible
2025-04-04,10:03:43,Guerrero,0,Disponible
2025-04-04,10:03:45,Yucatán,0,Disponible
2025-04-04,10:03:48,Puebla,0,Disponible
2025-04-04,10:03:50,Jalisco,1,Disponible
2025-04-04,10:03:53,México,0,No disponible/Request failed with status code 400
2025-04-04,10:03:55,Tlaxcala,0,Disponible
2025-04-04,10:03:58,Baja California Sur,48,Disponible
2025-04-04,10:04:00,Michoacán,0,Disponible
2025-04-04,10:04:02,Durango,0,Disponible
2025-04-04,10:04:05,Sinaloa,0,Disponible
2025-04-04,10:04:09,Tabasco,0,Disponible
2025-04-04,10:04:12,Tamaulipas,0,Disponible
2025-04-04,10:04:14,Baja California,0,Disponible
2025-04-04,10:04:17,SESEA_CAMPECHE,0,Disponible
2025-04-07,10:12:53,Guanajuato,1,Disponible
2025-04-07,10:12:56,Quintana Roo,2,Disponible
2025-04-07,10:12:58,Chihuahua,2,Disponible
2025-04-07,10:12:59,Veracruz,0,Disponible
2025-04-07,10:13:01,Guerrero,0,Disponible
2025-04-07,10:13:04,Yucatán,0,Disponible
2025-04-07,10:13:05,Puebla,0,Disponible
2025-04-07,10:13:07,Jalisco,1,Disponible
2025-04-07,10:13:09,México,6,Disponible
2025-04-07,10:13:11,Tlaxcala,0,Disponible
2025-04-07,10:13:13,Baja California Sur,48,Disponible
2025-04-07,10:15:15,Michoacán,0,No disponible/Request failed with status code 504
2025-04-07,10:17:16,Durango,0,Disponible
2025-04-07,10:17:18,Sinaloa,0,Disponible
2025-04-07,10:17:21,Tabasco,0,Disponible
2025-04-07,10:17:24,Tamaulipas,0,Disponible
2025-04-07,10:17:26,Baja California,0,Disponible
2025-04-07,10:17:27,SESEA_CAMPECHE,0,Disponible
2025-04-08,10:02:51,Guanajuato,1,Disponible
2025-04-08,10:02:54,Quintana Roo,2,Disponible
2025-04-08,10:02:56,Chihuahua,2,Disponible
2025-04-08,10:02:57,Veracruz,0,Disponible
2025-04-08,10:02:59,Guerrero,0,Disponible
2025-04-08,10:03:01,Yucatán,0,Disponible
2025-04-08,10:03:03,Puebla,0,Disponible
2025-04-08,10:03:05,Jalisco,1,Disponible
2025-04-08,10:03:08,México,6,Disponible
2025-04-08,10:03:10,Tlaxcala,0,Disponible
