FECHA_EJECUCION,HORA_EJECUCION,ENTE,TOTAL_REGISTROS,ESTATUS
2025-03-16,12:57:27,Guanajuato,0,Disponible
2025-03-16,12:57:30,Quintana Roo,0,Disponible
2025-03-16,12:57:31,Chihuahua,0,Disponible
2025-03-16,12:57:32,Veracruz,0,Disponible
2025-03-16,12:57:33,Guerrero,0,Disponible
2025-03-16,12:57:35,Yucatán,0,Disponible
2025-03-16,12:57:36,Puebla,0,Disponible
2025-03-16,12:57:37,Jalisco,5,Disponible
2025-03-16,12:57:39,México,1,Disponible
2025-03-16,12:57:40,Tlaxcala,0,Disponible
2025-03-16,12:57:42,Baja California Sur,0,Disponible
2025-03-16,12:58:04,Michoacán,0,No disponible/Request failed with status code 400
2025-03-16,12:59:09,Durango,0,Disponible
2025-03-16,12:59:11,Sinaloa,0,Disponible
2025-03-16,12:59:14,Tabasco,0,Disponible
2025-03-16,12:59:16,Tamaulipas,0,Disponible
2025-03-16,12:59:18,Baja California,0,Disponible
2025-03-17,15:18:38,Guanajuato,0,Disponible
2025-03-17,15:18:41,Quintana Roo,0,Disponible
2025-03-17,15:18:43,Chihuahua,0,Disponible
2025-03-17,15:18:44,Veracruz,0,Disponible
2025-03-17,15:18:46,Guerrero,0,Disponible
2025-03-17,15:18:48,Yucatán,0,Disponible
2025-03-17,15:18:49,Puebla,0,Disponible
2025-03-17,15:18:51,Jalisco,5,Disponible
2025-03-17,15:18:53,México,1,Disponible
2025-03-17,15:18:55,Tlaxcala,0,Disponible
2025-03-17,15:18:57,Baja California Sur,0,Disponible
2025-03-17,15:19:19,Michoacán,0,No disponible/Request failed with status code 400
2025-03-17,15:20:04,Durango,0,Disponible
2025-03-17,15:20:07,Sinaloa,0,Disponible
2025-03-17,15:20:12,Tabasco,0,Disponible
2025-03-17,15:20:14,Tamaulipas,0,Disponible
2025-03-17,15:20:16,Baja California,0,Disponible
2025-03-18,10:58:56,Guanajuato,0,Disponible
2025-03-18,10:58:59,Quintana Roo,0,Disponible
2025-03-18,10:59:01,Chihuahua,0,Disponible
2025-03-18,10:59:02,Veracruz,0,Disponible
2025-03-18,10:59:04,Guerrero,0,Disponible
2025-03-18,10:59:06,Yucatán,0,Disponible
2025-03-18,10:59:08,Puebla,0,Disponible
2025-03-18,10:59:10,Jalisco,5,Disponible
2025-03-18,10:59:12,México,1,Disponible
2025-03-18,10:59:14,Tlaxcala,0,Disponible
2025-03-18,10:59:16,Baja California Sur,0,Disponible
2025-03-18,10:59:19,Michoacán,0,No disponible/Request failed with status code 400
2025-03-18,10:59:23,Durango,0,Disponible
2025-03-18,10:59:25,Sinaloa,0,Disponible
2025-03-18,10:59:28,Tabasco,0,Disponible
2025-03-18,10:59:30,Tamaulipas,0,Disponible
2025-03-18,10:59:32,Baja California,0,Disponible
2025-03-18,11:08:20,Guanajuato,0,Disponible
2025-03-18,11:08:24,Quintana Roo,0,Disponible
2025-03-18,11:08:27,Chihuahua,0,Disponible
2025-03-18,11:08:28,Veracruz,0,Disponible
2025-03-18,11:08:30,Guerrero,0,Disponible
2025-03-18,11:08:32,Yucatán,0,Disponible
2025-03-18,11:08:34,Puebla,0,Disponible
2025-03-18,11:08:36,Jalisco,5,Disponible
2025-03-18,11:08:38,México,1,Disponible
2025-03-18,11:08:40,Tlaxcala,0,Disponible
2025-03-18,11:08:42,Baja California Sur,0,Disponible
2025-03-18,11:08:44,Michoacán,0,No disponible/Request failed with status code 400
2025-03-18,11:08:49,Durango,0,Disponible
2025-03-18,11:08:51,Sinaloa,0,Disponible
2025-03-18,11:08:54,Tabasco,0,Disponible
2025-03-18,11:08:56,Tamaulipas,0,Disponible
2025-03-18,11:08:58,Baja California,0,Disponible
2025-03-19,11:47:16,Guanajuato,0,Disponible
2025-03-19,11:47:19,Quintana Roo,0,Disponible
